Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Confidence in national government,"GINI index (World Bank estimate), average 2000-2017, unbalanced panel","gini of household income reported in Gallup, by wp5-year"
Burundi,Sub-Saharan Africa,2019,3.775,0.046,0.447,0.38,0.22,0.17600000000000000,0.18,,,,,,,,,
Cambodia,Southeast Asia,2019,4.7,0.574,1.122,0.637,0.609,0.23200000000000000,0.062,8.314613342000000,0.759175479,62.0,0.956799209,0.012114056000000000,0.8284444810000000,,,0.627576292
Cameroon,Sub-Saharan Africa,2019,5.044,0.5490000000000000,0.91,0.331,0.381,0.187,0.037000000000000000,8.132741928,0.710964739,53.5,0.711500287,-0.008849284,0.817170262,0.546259165,0.438333333,0.504211724
Canada,North America and ANZ,2019,7.278,1.365,1.505,1.0390000000000000,0.584,0.285,0.308,10.694495200000000,0.9253039960000000,73.80000305,0.9115256070000000,0.10973661400000000,0.436434418,0.549280941,0.3368,0.49826473
Central African Republic,Sub-Saharan Africa,2019,3.083,0.026000000000000000,0.0,0.105,0.225,0.235,0.035,,,,,,,,,
Chad,Sub-Saharan Africa,2019,4.35,0.35,0.7660000000000000,0.192,0.174,0.198,0.078,7.468655586000000,0.640452087,48.70000076,0.537245691,0.042452563,0.832283497,0.5719864960000000,0.4155,0.627826095
Chile,Latin America and Caribbean,2019,6.444,1.159,1.369,0.92,0.35700000000000000,0.187,0.056000000000000000,10.046175,0.8691219090000000,70.0,0.659176767,-0.10781279200000000,0.8604915740000000,0.152523443,0.488375,0.411149085
China,East Asia,2019,5.191,1.0290000000000000,1.125,0.893,0.521,0.058000000000000000,0.1,9.747443199,0.8219358920000000,69.59999847,0.927356243,-0.18545725900000000,,,0.413,0.504745662
Colombia,Latin America and Caribbean,2019,6.125,0.985,1.41,0.841,0.47,0.099,0.034,9.516260147,0.8725789190000000,68.0,0.8215007190000000,-0.17416431,0.8536461590000000,0.327981085,0.5384375,0.565961242
Comoros,Sub-Saharan Africa,2019,3.9730000000000000,0.27400000000000000,0.757,0.505,0.142,0.275,0.078,7.837818146,0.632012963,57.5,0.538261533,0.085560694,0.762232482,0.313734859,0.506,0.6090701820000000
Congo (Brazzaville),Sub-Saharan Africa,2019,4.812,0.6730000000000000,0.799,0.508,0.37200000000000000,0.105,0.09300000000000000,8.549464226,0.624768078,58.5,0.6864519720000000,-0.084624588,0.74058944,0.541197777,0.48100000000000000,0.444048971
Congo (Kinshasa),Sub-Saharan Africa,2019,4.418,0.094,1.125,0.35700000000000000,0.26900000000000000,0.212,0.053,,,,,,,,,
Costa Rica,Latin America and Caribbean,2019,7.167000000000000,1.034,1.4410000000000000,0.963,0.5580000000000000,0.14400000000000000,0.09300000000000000,9.669974327,0.906077445,71.5,0.926830113,-0.138664141,0.8356283310000000,0.28302386400000000,0.490444444,0.539125383
Croatia,Central and Eastern Europe,2019,5.432,1.155,1.266,0.914,0.29600000000000000,0.11900000000000000,0.022000000000000000,10.10352802,0.9359887240000000,70.80000305,0.739300609,-0.134991005,0.931614637,0.28650143700000000,0.321428571,0.33838293
Cyprus,Western Europe,2019,6.046,1.263,1.2230000000000000,1.042,0.406,0.19,0.041000000000000000,,0.776078045,73.90000153,0.740058005,,0.865294218,0.327287793,0.32616666700000000,0.39029508800000000
Czech Republic,Central and Eastern Europe,2019,6.852,1.2690000000000000,1.4870000000000000,0.92,0.457,0.046,0.036000000000000000,,,,,,,,,
Denmark,Western Europe ,2019,7.6,1.383,1.5730000000000000,0.996,0.5920000000000000,0.252,0.41,10.78529835,0.9577063920000000,72.69999695,0.963318408,0.022847341,0.17415058600000000,0.632999003,0.267,0.51497221
Dominican Republic,Latin America and Caribbean,2019,5.425,1.015,1.401,0.779,0.49700000000000000,0.113,0.10100000000000000,9.709435463,0.884089887,66.09999847,0.87740624,-0.122824155,0.745615363,0.408698589,0.486647059,0.490229875
Ecuador,Latin America and Caribbean,2019,6.028,0.912,1.3120000000000000,0.868,0.498,0.126,0.087,9.232759476,0.808485806,68.80000305,0.8295736910000000,-0.11470808100000000,0.839495003,0.208093628,0.4929375,0.429314286
Egypt,Middle East and North Africa,2019,4.166,0.9130000000000000,1.0390000000000000,0.644,0.24100000000000000,0.076,0.067,9.340777397,0.772128642,62.0,0.7739510540000000,-0.20404335900000000,,,0.3064,0.295973808
El Salvador,Latin America and Caribbean,2019,6.253000000000000,0.794,1.242,0.789,0.43,0.09300000000000000,0.07400000000000000,8.928953171,0.764390528,66.40000153,0.877390683,-0.105154619,0.68157649,0.7170416710000000,0.4535,0.473931879
Estonia,Central and Eastern Europe,2019,5.893,1.237,1.528,0.8740000000000000,0.495,0.10300000000000000,0.161,10.37015724,0.934064329,68.80000305,0.886504352,-0.094657265,0.5757541660000000,0.403306544,0.332461538,0.370280325
Ethiopia,Sub-Saharan Africa,2019,4.2860000000000000,0.336,1.033,0.532,0.344,0.209,0.1,7.5434894560000000,0.7480577830000000,59.0,0.753515542,0.058867857,0.731845319,0.7779278760000000,0.32666666700000000,0.5132552980000000
Finland,Western Europe ,2019,7.769,1.34,1.587,0.986,0.596,0.153,0.39300000000000000,10.65170002,0.93741554,72.0,0.947616696,-0.050868034000000000,0.195338428,0.63918817,0.275615385,0.41326651
France,Western Europe,2019,6.5920000000000000,1.324,1.472,1.045,0.436,0.111,0.183,10.59665775,0.958348095,74.0,0.827240825,-0.132179156,0.5682722930000000,0.381849229,0.320923077,0.402309239
Gabon,Sub-Saharan Africa,2019,4.7990000000000000,1.057,1.183,0.5710000000000000,0.295,0.043,0.055,9.677096367,0.7630516890000000,60.20000076,0.736349881,-0.21557492,0.84625423,0.354912966,0.401,0.544877231
Gambia,Sub-Saharan Africa,2019,4.516,0.308,0.9390000000000000,0.428,0.382,0.26900000000000000,0.16700000000000000,7.348093987,0.6938701270000000,55.29999924,0.6765952710000000,0.430263877,0.798108101,0.6453161240000000,0.42266666700000000,0.571032822
Georgia,Commonwealth of Independent States,2019,4.519,0.8860000000000000,0.6660000000000000,0.752,0.34600000000000000,0.043,0.16400000000000000,9.269600868,0.6749760510000000,64.30000305,0.81053412,-0.242465407,0.647223175,0.405210346,0.380333333,0.454171389
Germany,Western Europe ,2019,6.985,1.3730000000000000,1.454,0.987,0.495,0.261,0.265,10.73820305,0.885667324,72.5,0.8847515580000000,0.05871309,0.46225515,0.568460405,0.307071429,0.335192531
Ghana,Sub-Saharan Africa,2019,4.996,0.611,0.868,0.486,0.381,0.245,0.04,8.398086548,0.746247828,57.59999847,0.787447751,0.123746946,0.85666585,0.578076839,0.429,0.532237411
Greece,Western Europe,2019,5.287000000000000,1.181,1.156,0.9990000000000000,0.067,0.0,0.034,10.15252781,0.8908095360000000,72.59999847,0.613584101,-0.285454512,0.848003805,0.39642462100000000,0.346384615,0.373956025
Guatemala,Latin America and Caribbean,2019,6.436,0.8,1.2690000000000000,0.746,0.535,0.175,0.078,8.9370718,0.774074376,65.09999847,0.90067631,-0.060334966,0.772577941,0.457001328,0.523666667,0.58990103
Guinea,Sub-Saharan Africa,2019,4.534,0.38,0.8290000000000000,0.375,0.332,0.207,0.086,7.786845207000000,0.6551241870000000,55.5,0.691399097,0.09571211,0.755585492,0.579256535,0.387,0.478333533
Haiti,Latin America and Caribbean,2019,3.597,0.32300000000000000,0.688,0.449,0.026000000000000000,0.419,0.11,,,,,,,,,
Honduras,Latin America and Caribbean,2019,5.86,0.642,1.236,0.828,0.507,0.24600000000000000,0.078,8.444027901,0.797148347,67.40000153,0.846190035,0.07120017,0.814962924,0.358097196,0.5444705880000000,0.558669031
Hong Kong,East Asia,2019,5.43,1.4380000000000000,1.2770000000000000,1.122,0.44,0.258,0.287,,0.855825663,,0.7268521790000000,,0.431973636,0.332539529,,0.43031722300000000
Hungary,Central and Eastern Europe,2019,5.758000000000000,1.2010000000000000,1.41,0.828,0.19900000000000000,0.081,0.02,10.29705143,0.94651556,68.0,0.7980410460000000,-0.196947202,0.8835714460000000,0.483934194,0.29791666700000000,0.39770659800000000
Iceland,Western Europe ,2019,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000000,10.769532200000000,0.981824577,73.0,0.959470093,,0.698707938,0.5213770870000000,0.280833333,0.320871145
India,South Asia,2019,4.015,0.755,0.765,0.588,0.498,0.2,0.085,8.885255814,0.560780764,60.5,0.8755403160000000,0.099960171,0.751979411,0.78970331,0.35166666700000000,0.525447309
Indonesia,Southeast Asia ,2019,5.192,0.9310000000000000,1.203,0.66,0.491,0.498,0.028000000000000000,9.39752388,0.80191803,62.29999924,0.865859151,0.546185613,0.860784769,0.782263815,0.354555556,0.43676093200000000
Iran,Middle East and North Africa,2019,4.548,1.1,0.8420000000000000,0.785,0.305,0.27,0.125,9.76306057,0.6982931490000000,66.30000305,0.623282075,0.11077138,0.7283065320000000,0.521268964,0.408857143,0.42214480000000000
Iraq,Middle East and North Africa,2019,4.437,1.043,0.98,0.574,0.24100000000000000,0.14800000000000000,0.08900000000000000,,,,,,,,,
Ireland,Western Europe,2019,7.021,1.499,1.5530000000000000,0.9990000000000000,0.516,0.298,0.31,11.21385288,0.943726361,72.40000153,0.892458677,0.07475473,0.372803569,0.581215978,0.326153846,0.43324983100000000
Israel,Middle East and North Africa,2019,7.139000000000000,1.276,1.455,1.0290000000000000,0.371,0.261,0.08200000000000000,,,,,,,,,
Italy,Western Europe,2019,6.223,1.294,1.4880000000000000,1.0390000000000000,0.231,0.158,0.03,10.48765469,0.83840245,73.80000305,0.709478855,-0.078729585,0.8655280470000000,0.221925855,0.344,0.323439181
