Country,Region indicator,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,"Log of GDP per person, 2015-2017","GDP per person, 2015-2017","Healthy life expectancy, 2015-2017","Social support, 2015-2017","Freedom to make life choices, 2015-2017","Generosity, 2015-2017, without adjustment for GDP per person","Perceptions of corruption, 2015-2017"
Montenegro,Central and Eastern Europe,2018,5.347,1.0170000000000000,1.2790000000000000,0.7290000000000000,0.259,0.111,0.081,9.66409874,15742.175780000000,66.94611359,0.8283559080000000,0.592260122,0.225287452,0.796306431
Croatia,Central and Eastern Europe,2018,5.321000000000000,1.115,1.161,0.737,0.38,0.12,0.039,9.977690697,21540.51172,67.19174194,0.77996558,0.694128335,0.26401490000000000,0.874756753
Dominican Republic,Latin America and Caribbean,2018,5.3020000000000000,0.982,1.4410000000000000,0.614,0.578,0.12,0.106,9.549773216,14041.509770000000,63.33527756,0.89428401,0.860594034,0.23058447200000000,0.751462996
Algeria,Middle East and North Africa,2018,5.295,0.9790000000000000,1.1540000000000000,0.687,0.077,0.055,0.135,9.54070282,13914.72363,65.6048584,0.776976705,0.439177334,0.12898774400000000,0.6983429790000000
Morocco,Middle East and North Africa,2018,5.254,0.779,0.797,0.669,0.46,0.026000000000000000,0.07400000000000000,8.898159027,7318.487793000000,65.04904938,0.631378412,0.761203766,0.035593998000000000,0.8095734720000000
China,East Asia,2018,5.246,0.9890000000000000,1.1420000000000000,0.799,0.597,0.029000000000000000,0.10300000000000000,9.574295998,14390.103520000000,69.15530396,0.77220428,0.876166463,0.09170004,
Azerbaijan,Commonwealth of Independent States,2018,5.2010000000000000,1.024,1.161,0.603,0.43,0.031,0.17600000000000000,9.685745239,16086.65332,62.96974945,0.779933214,0.73573947,0.104108624,0.620859325
Lebanon,Middle East and North Africa,2018,5.199,0.965,1.166,0.785,0.292,0.187,0.034,9.494716644,13289.3291,68.71563721,0.782185674,0.61949873,0.329722315,0.8846238260000000
Macedonia,Central and Eastern Europe,2018,5.185,0.9590000000000000,1.239,0.691,0.39400000000000000,0.17300000000000000,0.052000000000000000,9.47803688,13069.50391,65.73043060000000,0.811981857,0.7060002680000000,0.307578921,0.8498119120000000
Jordan,Middle East and North Africa,2018,5.1610000000000000,0.8220000000000000,1.265,0.645,0.46800000000000000,0.13,0.134,9.035596848000000,8396.723633,64.29178619,0.8224670890000000,0.7676852940000000,0.20645546900000000,
Nigeria,Sub-Saharan Africa,2018,5.155,0.6890000000000000,1.172,0.048,0.462,0.201,0.032,8.610159874000000,5487.125977000000,45.49649048,0.784353793,0.7626679540000000,0.28479078400000000,0.8880432840000000
Kyrgyzstan,Commonwealth of Independent States,2018,5.131,0.53,1.416,0.594,0.54,0.281,0.035,8.097990036,3287.853027,62.68017578,0.884335458,0.828307033,0.368075967,0.8828195330000000
Bosnia and Herzegovina,Central and Eastern Europe,2018,5.129,0.915,1.078,0.758,0.28,0.21600000000000000,0.0,9.335348129,11331.57227,67.83827209,0.74608314,0.609956622,0.363586843,0.946652532
Mongolia,East Asia,2018,5.125,0.914,1.517,0.575,0.395,0.253,0.032,9.332962036,11304.56641,62.10375214,0.925548017,0.706538558,0.42085158800000000,0.888112187
Vietnam,Southeast Asia,2018,5.103,0.715,1.365,0.7020000000000000,0.618,0.177,0.079,8.692094803,5955.64502,66.07466125,0.863339365,0.8942130210000000,0.25137803,0.79990226
Indonesia,Southeast Asia,2018,5.093,0.899,1.215,0.522,0.5380000000000000,0.484,0.018000000000000000,9.284377098,10768.46387,60.43648911,0.801868558,0.8268492820000000,0.775615573,0.9141063690000000
Bhutan,South Asia,2018,5.082,0.7960000000000000,1.335,0.527,0.541,0.364,0.171,8.954587936,7743.336426000000,60.56794357,0.850920916,0.829656422,0.563592196,0.631327808
Somalia,Sub-Saharan Africa,2018,4.982,0.0,0.7120000000000000,0.115,0.674,0.23800000000000000,0.282,,,47.62682343,0.596474707,0.9407939910000000,0.175083295,0.425927848
Cameroon,Sub-Saharan Africa,2018,4.975,0.535,0.8910000000000000,0.182,0.45400000000000000,0.183,0.043,8.114089012,3341.212402,49.73516464,0.66957283,0.7557376030000000,0.22044625900000000,0.866538763
Bulgaria,Central and Eastern Europe,2018,4.933,1.054,1.515,0.7120000000000000,0.359,0.064,0.009000000000000000,9.783441544,17737.5918,66.4154892,0.924724042,0.675944567,0.162422732,0.929407775
Nepal,South Asia,2018,4.88,0.425,1.228,0.539,0.526,0.302,0.078,7.763106823000000,2352.201172,60.94758224,0.8074485660000000,0.816732287,0.381380349,0.802883983
Venezuela,Latin America and Caribbean,2018,4.806,0.996,1.469,0.657,0.133,0.056000000000000000,0.052000000000000000,9.594682693,14686.48145,64.67490387,0.9060027,0.48613455900000000,0.136016473,0.8513434530000000
Gabon,Sub-Saharan Africa,2018,4.758,1.036,1.1640000000000000,0.40400000000000000,0.35600000000000000,0.032,0.052000000000000000,9.72511673,16732.64258,56.71204758,0.781012475,0.673866689,0.107504159,0.851480901
Palestinian Territories,Middle East and North Africa,2018,4.743,0.642,1.217,0.602,0.266,0.086,0.076,8.460144997,4722.742676,62.95491028,0.8027670380000000,0.59805429,0.086062767,0.8055176140000000
South Africa,Sub-Saharan Africa,2018,4.724,0.94,1.41,0.33,0.516,0.10300000000000000,0.056000000000000000,9.415628433,12278.78711,54.38080597,0.881908178,0.808618486,0.194970846,0.843749583
Iran,Middle East and North Africa,2018,4.707,1.0590000000000000,0.7710000000000000,0.691,0.45900000000000000,0.282,0.129,9.796599388000000,17972.52344,65.73571777,0.6207768920000000,0.76056242,0.50422281,0.70802772
Ivory Coast,Sub-Saharan Africa,2018,4.671,0.541,0.872,0.08,0.467,0.146,0.10300000000000000,8.133846283000000,3407.88208,46.52259064,0.661694646,0.7665874360000000,0.160901174,0.7566016320000000
Ghana,Sub-Saharan Africa,2018,4.657,0.5920000000000000,0.8960000000000000,0.337,0.499,0.212,0.029000000000000000,8.297337532,4013.173096,54.60906219,0.671591341,0.793514252,0.27739849700000000,0.893568754
Senegal,Sub-Saharan Africa,2018,4.631,0.429,1.117,0.433,0.406,0.138,0.08200000000000000,7.774437428,2379.004639,57.63000488,0.7621843220000000,0.715303302,0.12219212900000000,0.795054495
Laos,Southeast Asia,2018,4.623,0.72,1.034,0.441,0.626,0.23,0.174,8.708567619,6054.563965,57.8695755,0.727889597,0.900917172,0.371115685,0.626053154
Tunisia,Middle East and North Africa,2018,4.592,0.9,0.9060000000000000,0.69,0.271,0.04,0.063,9.286602974,10792.45996,65.72196198,0.675955236,0.601712465,0.085977875,0.830830932
Albania,Central and Eastern Europe,2018,4.586,0.9160000000000000,0.8170000000000000,0.79,0.419,0.149,0.032,9.338126183,11363.0957,68.87155151,0.639576375,0.726340234,0.259975374,0.886778414
