Country,Region,year,Happiness score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Confidence in national government,"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Hong Kong,East Asia,2017,5.472,1.5520000000000000,1.263,0.943,0.491,0.374,0.294,,,,,,,,,,
Hungary,Central and Eastern Europe,2017,5.324,1.286,1.3430000000000000,0.688,0.17600000000000000,0.078,0.037000000000000000,10.19323826,0.8767475490000000,67.19336700000000,0.6611659530000000,-0.150793031,0.886361301,0.735184252,0.377770513,0.296818182,0.330753207
Iceland,Western Europe ,2017,7.504,1.4810000000000000,1.611,0.8340000000000000,0.627,0.47600000000000000,0.154,10.76040936,0.966752827,72.75598145,0.938783288,0.23547871400000000,0.7268453840000000,0.895254552,0.36504194100000000,0.280090909,0.33243790300000000
India,South Asia,2017,4.315,0.792,0.754,0.455,0.47,0.23200000000000000,0.092,8.768456459,0.606767476,59.50262833,0.88585043,-0.054502800000000000,0.780802786,0.682090998,0.8392784,0.35200000000000000,0.380112171
Indonesia,Southeast Asia ,2017,5.2620000000000000,0.996,1.274,0.49200000000000000,0.44300000000000000,0.612,0.015,9.322167397000000,0.7955892090000000,60.58441544,0.865026295,0.47297385300000000,0.900416434,0.8625841740000000,0.8257653710000000,0.395,0.44970825300000000
Iran,Middle East and North Africa,2017,4.692,1.157,0.7120000000000000,0.639,0.249,0.387,0.049,9.853448868,0.714232922,65.96455383,0.7306351660000000,0.182735115,0.714941323,0.693666041,,0.4132,0.852039635
Iraq,Middle East and North Africa,2017,4.497,1.103,0.9790000000000000,0.501,0.289,0.2,0.107,9.622719765,0.695109367,61.04584503,0.627722025,-0.038429033,0.757108808,0.505288541,0.42405077800000000,0.2905,0.55036813
Ireland,Western Europe,2017,6.977,1.536,1.558,0.81,0.573,0.428,0.298,11.06648731,0.943481982,71.70978546,0.905341148,0.20680174200000000,0.33708474,0.833388925,0.603799641,0.325545455,0.367454171
Israel,Middle East and North Africa,2017,7.213000000000000,1.375,1.376,0.838,0.406,0.33,0.085,10.40613174,0.916440845,71.86508179,0.7680763010000000,0.137158513,0.7926522490000000,0.673591316,0.38936814700000000,0.41100000000000000,0.245601237
Italy,Western Europe,2017,5.9640000000000000,1.395,1.445,0.853,0.256,0.17300000000000000,0.028000000000000000,10.4724741,0.9197912220000000,74.13479614,0.632843256,-0.043380704000000000,0.866667926,0.661180735,0.230196297,0.34127272700000000,0.346708387
Ivory Coast,Sub-Saharan Africa,2017,4.18,0.603,0.905,0.049,0.44800000000000000,0.201,0.13,8.180943489,0.661375344,46.98994064,0.7320979240000000,-0.095353842,0.770940244,0.697735488,0.516654313,0.42066666700000000,0.557953954
Jamaica,Latin America and Caribbean,2017,5.311,0.9260000000000000,1.368,0.6410000000000000,0.474,0.23400000000000000,0.055,9.025864601,0.91302985,65.81879425,0.8606763480000000,-0.13083273200000000,0.8827961680000000,0.769282162,0.34820175200000000,0.469,0.56453526
Japan,East Asia,2017,5.92,1.4170000000000000,1.436,0.9130000000000000,0.506,0.121,0.16400000000000000,10.56816864,0.8819612860000000,75.31729126,0.8493965860000000,-0.22329679100000000,0.659198642,0.740387619,0.412489951,0.321,0.42615369
Jordan,Middle East and North Africa,2017,5.336,0.991,1.239,0.605,0.418,0.172,0.12,9.025333405,0.814664543,64.4178772,0.7662624720000000,-0.151522875,,0.6277983780000000,,0.34300000000000000,0.363606215
Kazakhstan,Commonwealth of Independent States,2017,5.819,1.285,1.3840000000000000,0.606,0.43700000000000000,0.20200000000000000,0.11900000000000000,10.071870800000000,0.9140931960000000,64.19999695,0.7452439670000000,-0.049178492000000000,0.7552506920000000,0.7567622070000000,0.755705774,0.295066667,0.337242872
Kenya,Sub-Saharan Africa,2017,4.553,0.56,1.068,0.31,0.45300000000000000,0.445,0.065,8.01025486,0.714604318,58.68983841,0.8533943890000000,0.25017926100000000,0.85400039,0.7884522080000000,0.637862563,0.485,0.521331966
Kosovo,Central and Eastern Europe,2017,5.279,0.951,1.138,0.541,0.26,0.32,0.057,,0.792087257,62.39247894,0.857676744,,0.92519182,0.7384355660000000,0.298196137,,0.402043372
Kuwait,Middle East and North Africa,2017,6.105,1.633,1.26,0.632,0.496,0.228,0.215,11.11179256,0.8534913060000000,65.37895966,0.884181619,-0.048504289000000000,,0.692071915,,,0.591861427
Kyrgyzstan,Commonwealth of Independent States,2017,5.004,0.596,1.3940000000000000,0.5530000000000000,0.455,0.429,0.039,8.11204052,0.882586658,62.89964676,0.859389782,0.16666737200000000,0.8744944930000000,0.755125225,0.561672747,0.306375,0.38215088800000000
Latvia,Central and Eastern Europe,2017,5.85,1.261,1.405,0.639,0.326,0.153,0.07400000000000000,10.1330328,0.895098746,65.10926056,0.6995201110000000,-0.16383144300000000,0.79837811,0.623312771,0.264000505,0.36200000000000000,0.36218524
Lebanon,Middle East and North Africa,2017,5.225,1.075,1.13,0.735,0.289,0.264,0.038,9.491579056,0.7765830160000000,68.8638916,0.604554176,-0.075028144,0.910727262,0.515443921,0.217718095,0.318,0.326644003
Lesotho,Sub-Saharan Africa,2017,3.8080000000000000,0.521,1.19,0.0,0.391,0.157,0.11900000000000000,,,,,,,,,,
Liberia,Sub-Saharan Africa,2017,3.533,0.11900000000000000,0.872,0.23,0.33300000000000000,0.267,0.039,6.629414082,0.6848668460000000,52.78684998,0.7333899140000000,0.04057676,0.866806388,0.667946458,0.554991543,0.3485,0.590849876
Libya,Middle East and North Africa,2017,5.525,1.102,1.358,0.52,0.466,0.152,0.09300000000000000,,0.8227587940000000,61.48470688,0.778695881,,0.673065543,0.69704932,,,0.586069345
Lithuania,Central and Eastern Europe,2017,5.902,1.315,1.474,0.629,0.23400000000000000,0.01,0.012,10.28265762,0.9263166190000000,67.04169464,0.749307334,-0.18227662100000000,,0.607613146,0.32124728,0.353090909,0.428504139
Luxembourg,Western Europe,2017,6.8630000000000000,1.742,1.4580000000000000,0.845,0.597,0.28300000000000000,0.319,11.46523094,0.905435503,72.20130920000000,0.90282172,0.029771445,0.33017358200000000,0.7658168670000000,0.73892206,0.315363636,0.292349696
Macedonia,Central and Eastern Europe,2017,5.175,1.065,1.208,0.645,0.326,0.254,0.06,9.50363636,0.79995513,65.8757782,0.752106607,-0.062728427,0.8556972740000000,0.502459884,0.442916453,0.390166667,0.371204376
Madagascar,Sub-Saharan Africa,2017,3.6440000000000000,0.306,0.9130000000000000,0.375,0.18900000000000000,0.209,0.067,7.249253273,0.626331985,56.99448395,0.570347905,-0.025507912,0.847260773,0.751698077,0.541916132,0.431,0.57831651
Malawi,Sub-Saharan Africa,2017,3.97,0.233,0.513,0.315,0.467,0.287,0.073,7.00270319,0.555422723,54.23464203,0.847920775,0.021560058000000000,0.734636605,0.608666539,0.620332539,0.43,0.57405597
Malaysia,Southeast Asia,2017,6.084,1.291,1.285,0.619,0.402,0.41700000000000000,0.066,,,,,,,,,,
Mali,Sub-Saharan Africa,2017,4.19,0.47600000000000000,1.281,0.16900000000000000,0.307,0.183,0.105,7.608559132000000,0.741359413,49.17869949,0.7532133460000000,-0.064547285,0.862655163,0.7418357730000000,0.504820108,0.372666667,0.549026549
Malta,Western Europe,2017,6.527,1.3430000000000000,1.4880000000000000,0.8220000000000000,0.589,0.575,0.153,10.50269985,0.9373317960000000,71.82951355,0.923642933,0.24176245900000000,0.6904945370000000,0.720753372,0.75200516,,0.41963762
Mauritania,Sub-Saharan Africa,2017,4.292,0.648,1.272,0.285,0.096,0.20200000000000000,0.13700000000000000,8.187707901,0.77922523,53.33533859,0.527446806,-0.134765625,0.777314067,0.637107074,0.292109728,0.36825,0.433928311
